fold_id,model_name,selected_params
23,XGBoost,"{""n_estimators"": 50, ""max_depth"": 2, ""learning_rate"": 0.01}"
24,Ridge,"{""alpha"": 25000.0}"
24,RandomForest,"{""n_estimators"": 200, ""max_depth"": 3}"
24,XGBoost,"{""n_estimators"": 50, ""max_depth"": 2, ""learning_rate"": 0.01}"
25,Ridge,"{""alpha"": 10000.0}"
25,RandomForest,"{""n_estimators"": 50, ""max_depth"": 3}"
25,XGBoost,"{""n_estimators"": 50, ""max_depth"": 5, ""learning_rate"": 0.01}"
26,Ridge,"{""alpha"": 10000.0}"
26,RandomForest,"{""n_estimators"": 100, ""max_depth"": 3}"
26,XGBoost,"{""n_estimators"": 50, ""max_depth"": 3, ""learning_rate"": 0.01}"
27,Ridge,"{""alpha"": 25000.0}"
27,RandomForest,"{""n_estimators"": 50, ""max_depth"": 3}"
27,XGBoost,"{""n_estimators"": 50, ""max_depth"": 2, ""learning_rate"": 0.01}"
28,Ridge,"{""alpha"": 25000.0}"
28,RandomForest,"{""n_estimators"": 200, ""max_depth"": 3}"
28,XGBoost,"{""n_estimators"": 50, ""max_depth"": 2, ""learning_rate"": 0.01}"
29,Ridge,"{""alpha"": 100000.0}"
29,RandomForest,"{""n_estimators"": 50, ""max_depth"": 3}"
29,XGBoost,"{""n_estimators"": 50, ""max_depth"": 3, ""learning_rate"": 0.01}"
30,Ridge,"{""alpha"": 100000.0}"
30,RandomForest,"{""n_estimators"": 100, ""max_depth"": 3}"
30,XGBoost,"{""n_estimators"": 50, ""max_depth"": 2, ""learning_rate"": 0.01}"
31,Ridge,"{""alpha"": 10000.0}"
31,RandomForest,"{""n_estimators"": 100, ""max_depth"": 3}"
31,XGBoost,"{""n_estimators"": 50, ""max_depth"": 5, ""learning_rate"": 0.01}"
32,Ridge,"{""alpha"": 10000.0}"
32,RandomForest,"{""n_estimators"": 200, ""max_depth"": 3}"
32,XGBoost,"{""n_estimators"": 50, ""max_depth"": 2, ""learning_rate"": 0.03}"
33,Ridge,"{""alpha"": 10000.0}"
33,RandomForest,"{""n_estimators"": 100, ""max_depth"": 3}"
33,XGBoost,"{""n_estimators"": 50, ""max_depth"": 2, ""learning_rate"": 0.05}"
34,Ridge,"{""alpha"": 10000.0}"
34,RandomForest,"{""n_estimators"": 200, ""max_depth"": 3}"
34,XGBoost,"{""n_estimators"": 50, ""max_depth"": 2, ""learning_rate"": 0.01}"
35,Ridge,"{""alpha"": 5000.0}"
35,RandomForest,"{""n_estimators"": 50, ""max_depth"": 3}"
35,XGBoost,"{""n_estimators"": 50, ""max_depth"": 2, ""learning_rate"": 0.01}"
